Day Index,Users,Pageviews
2013-07-03,782,2905
2013-08-03,355,1069
2013-09-03,169,576
2013-10-03,221,649
2013-11-03,441,1207
2013-12-03,414,1200
2013-13-03,416,901
2013-14-03,398,873
2013-15-03,361,950
2013-16-03,221,645
2013-17-03,302,775
2013-18-03,427,983
2013-19-03,454,1167
2013-20-03,481,1253
2013-21-03,422,1138
2013-22-03,359,886
2013-23-03,223,491
2013-24-03,245,620
2013-25-03,487,1258
2013-26-03,930,3379
2013-27-03,535,1568
2013-28-03,445,1373
2013-29-03,369,1279
2013-30-03,193,539
2013-31-03,187,516
2013-01-04,268,620
2013-02-04,590,1991
2013-03-04,509,1364
2013-04-04,764,2607
2013-05-04,626,1982
2013-06-04,266,885
2013-07-04,273,819
2013-08-04,299,771
2013-09-04,515,1657
2013-10-04,517,1476
2013-11-04,521,1675
2013-12-04,453,1203
2013-13-04,202,754
2013-14-04,185,550
2013-15-04,642,2763
2013-16-04,415,1142
2013-17-04,399,1115
2013-18-04,376,941
2013-19-04,363,1046
2013-20-04,163,402
2013-21-04,178,473
2013-22-04,373,1336
2013-23-04,353,1081
2013-24-04,349,1113
2013-25-04,346,937
2013-26-04,275,755
2013-27-04,175,513
2013-28-04,181,380
2013-29-04,458,1042
2013-30-04,311,802
2013-01-05,175,487
2013-02-05,282,706
2013-03-05,310,776
2013-04-05,131,362
2013-05-05,130,208
2013-06-05,316,1078
2013-07-05,304,852
2013-08-05,137,378
2013-09-05,136,327
2013-10-05,162,399
2013-11-05,122,224
2013-12-05,185,446
2013-13-05,341,846
2013-14-05,350,1093
2013-15-05,369,1075
2013-16-05,353,819
2013-17-05,289,657
2013-18-05,137,410
2013-19-05,134,385
2013-20-05,204,524
2013-21-05,365,983
2013-22-05,385,1002
2013-23-05,412,1068
2013-24-05,332,842
2013-25-05,186,418
2013-26-05,183,376
2013-27-05,388,975
2013-28-05,462,1064
2013-29-05,432,1080
2013-30-05,443,1113
2013-31-05,312,976
2013-01-06,157,368
2013-02-06,179,374
2013-03-06,476,1270
2013-04-06,453,1250
2013-05-06,376,963
2013-06-06,373,1270
2013-07-06,291,852
2013-08-06,141,369
2013-09-06,161,402
2013-10-06,341,1028
2013-11-06,395,1199
2013-12-06,375,1213
2013-13-06,324,988
2013-14-06,307,788
2013-15-06,140,390
2013-16-06,171,390
2013-17-06,341,1002
2013-18-06,372,1221
2013-19-06,366,1346
2013-20-06,379,1208
2013-21-06,274,727
2013-22-06,181,447
2013-23-06,206,540
2013-24-06,424,1483
2013-25-06,386,1304
2013-26-06,320,972
2013-27-06,317,836
2013-28-06,268,736
2013-29-06,114,317
2013-30-06,141,348
2013-01-07,338,952
2013-02-07,381,925
2013-03-07,335,940
2013-04-07,256,799
2013-05-07,263,668
2013-06-07,109,286
2013-07-07,144,311
2013-08-07,287,761
2013-09-07,276,743
2013-10-07,437,1406
2013-11-07,423,1256
2013-12-07,296,899
2013-13-07,125,214
2013-14-07,114,268
2013-15-07,383,1103
2013-16-07,371,1092
2013-17-07,317,892
2013-18-07,278,813
2013-19-07,253,860
2013-20-07,104,199
2013-21-07,123,324
2013-22-07,283,698
2013-23-07,316,1081
2013-24-07,292,997
2013-25-07,265,902
2013-26-07,262,818
2013-27-07,101,273
2013-28-07,140,339
2013-29-07,279,883
2013-30-07,209,633
2013-31-07,229,691
2013-01-08,197,553
2013-02-08,198,465
2013-03-08,105,245
2013-04-08,87,186
2013-05-08,194,550
2013-06-08,211,561
2013-07-08,191,519
2013-08-08,181,470
2013-09-08,199,507
2013-10-08,88,183
2013-11-08,103,201
2013-12-08,201,651
2013-13-08,170,436
2013-14-08,149,380
2013-15-08,110,355
2013-16-08,110,264
2013-17-08,89,198
2013-18-08,89,245
2013-19-08,203,592
2013-20-08,201,666
2013-21-08,209,479
2013-22-08,213,669
2013-23-08,179,390
2013-24-08,102,256
2013-25-08,112,251
2013-26-08,220,855
2013-27-08,260,633
2013-28-08,294,920
2013-29-08,231,646
2013-30-08,221,557
