date,users,pageviews
2014-01-14,0,1693
2014-01-15,0,1356
2014-01-16,0,1188
2014-01-17,0,905
2014-01-18,0,614
2014-01-19,0,711
2014-01-20,0,1243
2014-01-21,0,1203
2014-01-22,0,1079
2014-01-23,0,1359
2014-01-24,0,1185
2014-01-25,0,624
2014-01-26,0,750
2014-01-27,0,1369
2014-01-28,0,1215
2014-01-29,0,1371
2014-01-30,0,1615
2014-01-31,0,1144
2014-02-01,0,612
2014-02-02,0,612
2014-02-03,0,1383
2014-02-04,0,1245
2014-02-05,0,1411
2014-02-06,0,1364
2014-02-07,0,1036
2014-02-08,0,598
2014-02-09,0,696
2014-02-10,0,1064
2014-02-11,0,1129
2014-02-12,0,1363
2014-02-13,0,1124
2014-02-14,0,1124
2014-02-15,0,649
2014-02-16,0,682
2014-02-17,0,1271
2014-02-18,0,1573
2014-02-19,0,1508
2014-02-20,0,1141
2014-02-21,0,1039
2014-02-22,0,514
2014-02-23,0,541
2014-02-24,0,1313
2014-02-25,0,1371
2014-02-26,0,1383
2014-02-27,0,1078
2014-02-28,0,977
2014-03-01,0,606
2014-03-02,0,560
2014-03-03,0,1236
2014-03-04,0,1103
2014-03-05,0,1051
2014-03-06,0,1046
2014-03-07,0,781
2014-03-08,0,434
2014-03-09,0,484
2014-03-10,0,984
2014-03-11,0,1186
2014-03-12,0,1221
2014-03-13,0,1097
2014-03-14,0,712
2014-03-15,0,429
2014-03-16,0,638
2014-03-17,0,917
2014-03-18,0,1152
2014-03-19,0,947
2014-03-20,0,759
2014-03-21,0,822
2014-03-22,0,492
2014-03-23,0,613
2014-03-24,0,1200
2014-03-25,0,1118
2014-03-26,0,1555
2014-03-27,0,2320
2014-03-28,0,1205
2014-03-29,0,523
2014-03-30,0,635
2014-03-31,0,1600
2014-04-01,0,1099
2014-04-02,0,1255
2014-04-03,0,1020
2014-04-04,0,1031
2014-04-05,0,427
2014-04-06,0,424
2014-04-07,0,1191
2014-04-08,0,1056
2014-04-09,0,1271
2014-04-10,0,1095
2014-04-11,0,870
2014-04-12,0,529
2014-04-13,0,492
2014-04-14,0,1125
2014-04-15,0,1103
2014-04-16,0,1174
2014-04-17,0,1362
2014-04-18,0,838
2014-04-19,0,374
2014-04-20,0,388
2014-04-21,0,392
2014-04-22,0,1096
2014-04-23,0,1036
2014-04-24,0,962
2014-04-25,0,964
2014-04-26,0,402
2014-04-27,0,471
2014-04-28,0,902
2014-04-29,0,1158
2014-04-30,0,1369
2014-05-01,0,646
2014-05-02,0,764
2014-05-03,0,412
2014-05-04,0,514
2014-05-05,0,1163
2014-05-06,0,1155
2014-05-07,0,1182
2014-05-08,0,398
2014-05-09,0,653
2014-05-10,0,389
2014-05-11,0,428
2014-05-12,0,1754
2014-05-13,0,1566
2014-05-14,0,1209
2014-05-15,0,1828
2014-05-16,0,1469
2014-05-17,0,356
2014-05-18,0,359
2014-05-19,0,1123
2014-05-20,0,1295
2014-05-21,0,1579
2014-05-22,0,1383
2014-05-23,0,899
2014-05-24,0,307
2014-05-25,0,465
2014-05-26,0,1295
2014-05-27,0,1310
2014-05-28,0,844
2014-05-29,0,854
2014-05-30,0,861
2014-05-31,0,505
2014-06-01,0,660
2014-06-02,0,2462
2014-06-03,0,2456
2014-06-04,0,1477
2014-06-05,0,1519
2014-06-06,0,1300
2014-06-07,0,516
2014-06-08,0,295
2014-06-09,0,1223
2014-06-10,0,1495
2014-06-11,0,1179
